"","slice","avgAC","subj","hemi","roi"
"460",21,42183.9889322917,130518,"L","subiculum"
"461",1,38793.1154296875,130518,"L","SRLM"
"462",2,56712.4150390625,130518,"L","SRLM"
"463",3,40201.509765625,130518,"L","SRLM"
"464",4,40522.2109375,130518,"L","SRLM"
"465",5,32816.73046875,130518,"L","SRLM"
"466",6,30728.5675223214,130518,"L","SRLM"
"467",7,31356.9292534722,130518,"L","SRLM"
"468",8,37283.2666015625,130518,"L","SRLM"
"469",9,38699.4246651786,130518,"L","SRLM"
"470",10,51271.5217633929,130518,"L","SRLM"
"471",11,34914.2407226562,130518,"L","SRLM"
"472",12,34700.01171875,130518,"L","SRLM"
"473",13,33560.9912109375,130518,"L","SRLM"
"474",14,33990.9292534722,130518,"L","SRLM"
"475",15,38609.08203125,130518,"L","SRLM"
"476",16,61157.9228515625,130518,"L","SRLM"
"477",17,49829.4849609375,130518,"L","SRLM"
"478",18,36646.1585427989,130518,"L","SRLM"
"479",19,29498.8155691964,130518,"L","SRLM"
"480",20,33931.559375,130518,"L","SRLM"
"481",1,33447.591796875,130518,"R","CA1"
"482",2,40966.1404474432,130518,"R","CA1"
"483",3,42153.4487123843,130518,"R","CA1"
"484",4,48926.0080180921,130518,"R","CA1"
"485",5,33684.7542067308,130518,"R","CA1"
"486",6,45031.8500600962,130518,"R","CA1"
"487",7,37653.1652832031,130518,"R","CA1"
"488",8,51524.2033025568,130518,"R","CA1"
"489",9,50960.2455078125,130518,"R","CA1"
"490",10,34897.1400390625,130518,"R","CA1"
"491",11,36654.5364583333,130518,"R","CA1"
"492",12,40943.8344184028,130518,"R","CA1"
"493",13,47233.6696213942,130518,"R","CA1"
"494",14,46082.1497395833,130518,"R","CA1"
"495",15,53102.8798076923,130518,"R","CA1"
"496",16,56263.9527994792,130518,"R","CA1"
"497",17,59989.1605113636,130518,"R","CA1"
"498",18,53256.4138183594,130518,"R","CA1"
"499",19,45645.1682235054,130518,"R","CA1"
"500",20,44813.8886045259,130518,"R","CA1"
"501",21,45185.5014500473,130518,"R","CA1"
"502",22,22036.8135375977,130518,"R","CA1"
"503",23,13562.365678267,130518,"R","CA1"
"504",1,54134.766015625,130518,"R","CA4DG"
"505",2,48853.1531808036,130518,"R","CA4DG"
"506",3,60329.7036830357,130518,"R","CA4DG"
"507",4,40609.8929036458,130518,"R","CA4DG"
"508",5,39224.0703125,130518,"R","CA4DG"
"509",6,42983.9303385417,130518,"R","CA4DG"
"510",7,41839.3414713542,130518,"R","CA4DG"
"511",8,41511.0769042969,130518,"R","CA4DG"
"512",9,70985.8460286458,130518,"R","CA4DG"
"513",10,62273.6106770833,130518,"R","CA4DG"
"514",11,69920.2846679688,130518,"R","CA4DG"
"515",12,58668.7662760417,130518,"R","CA4DG"
"516",13,54072.3606770833,130518,"R","CA4DG"
"517",14,71191.3511284722,130518,"R","CA4DG"
"518",15,39263.2438401442,130518,"R","CA4DG"
"519",16,45106.3598632812,130518,"R","CA4DG"
"520",1,45387.01796875,130518,"R","CA2CA3"
"521",2,50283.7005974265,130518,"R","CA2CA3"
"522",3,34536.5482700893,130518,"R","CA2CA3"
"523",4,36020.778125,130518,"R","CA2CA3"
"524",5,72096.51953125,130518,"R","CA2CA3"
"525",6,55676.1920572917,130518,"R","CA2CA3"
"526",7,56886.7119140625,130518,"R","CA2CA3"
"527",8,51719.2994791667,130518,"R","CA2CA3"
"528",9,42050.3958333333,130518,"R","CA2CA3"
"529",10,37622.8125,130518,"R","CA2CA3"
"530",11,58460.58671875,130518,"R","CA2CA3"
"531",12,56575.259765625,130518,"R","CA2CA3"
"532",13,89557.064453125,130518,"R","CA2CA3"
"533",14,68288.51640625,130518,"R","CA2CA3"
"534",15,98992.1857244318,130518,"R","CA2CA3"
"535",16,73177.6859375,130518,"R","CA2CA3"
"536",17,59041.7335526316,130518,"R","CA2CA3"
"537",18,63284.4407552083,130518,"R","CA2CA3"
"538",1,42856.886328125,130518,"R","subiculum"
"539",2,52609.81640625,130518,"R","subiculum"
"540",3,50589.2404513889,130518,"R","subiculum"
"541",4,70644.9926215278,130518,"R","subiculum"
"542",5,73827.54921875,130518,"R","subiculum"
