"","slice","avgAC","subj","hemi","roi"
"507",3,36158.9900390625,146735,"L","CA1"
"508",4,32466.0386117788,146735,"L","CA1"
"509",5,26778.4229090074,146735,"L","CA1"
"510",6,26787.9957682292,146735,"L","CA1"
"511",7,24476.6343098958,146735,"L","CA1"
"512",8,23129.2895729759,146735,"L","CA1"
"513",9,21902.3533447266,146735,"L","CA1"
"514",10,18708.4055304276,146735,"L","CA1"
"515",11,18203.6673427484,146735,"L","CA1"
"516",12,21270.9794394003,146735,"L","CA1"
"517",13,21998.68046875,146735,"L","CA1"
"518",1,33665.7350260417,146735,"L","CA4DG"
"519",2,28470.3625837054,146735,"L","CA4DG"
"520",3,24101.8844726562,146735,"L","CA4DG"
"521",4,27948.3279474432,146735,"L","CA4DG"
"522",5,30092.9298206676,146735,"L","CA4DG"
"523",6,23139.4899811921,146735,"L","CA4DG"
"524",7,25011.8166725852,146735,"L","CA4DG"
"525",8,24856.2239583333,146735,"L","CA4DG"
"526",1,30697.029296875,146735,"L","CA2CA3"
"527",2,47958.3122829861,146735,"L","CA2CA3"
"528",3,44189.771484375,146735,"L","CA2CA3"
"529",4,38790.5241350446,146735,"L","CA2CA3"
"530",5,39912.4626116071,146735,"L","CA2CA3"
"531",6,36907.9357638889,146735,"L","CA2CA3"
"532",7,32494.8828125,146735,"L","CA2CA3"
"533",8,24007.0256076389,146735,"L","CA2CA3"
"534",9,24435.9101266572,146735,"L","CA2CA3"
"535",10,23712.1921691895,146735,"L","CA2CA3"
"536",11,22812.6909722222,146735,"L","CA2CA3"
"537",12,21955.7607421875,146735,"L","CA2CA3"
"538",1,44291.4375,146735,"L","subiculum"
"539",2,40590.1513671875,146735,"L","subiculum"
"540",3,36300.4474609375,146735,"L","subiculum"
"541",4,38425.793515625,146735,"L","subiculum"
"542",5,33722.4361769153,146735,"L","subiculum"
"543",6,33615.7467215402,146735,"L","subiculum"
"544",7,29015.6624490489,146735,"L","subiculum"
"545",8,25492.3783569336,146735,"L","subiculum"
"546",1,32480.974609375,146735,"L","SRLM"
"547",2,32639.8098144531,146735,"L","SRLM"
"548",3,33205.40625,146735,"L","SRLM"
